user_id,product_id,product_name,event_type,rating,reviews,views,clicks,carts,purchases,ID,root_2_0,root_2_1,root_2_2,root_2_3,root_2_4,root_2_5,root_2_6,root_2_7,age,gender,cluster
U0909,7787a74df19eb1a30a5cecbd52600674,Uber Urban Slim Fit Men's Trousers,view,2.8,"This is a high-quality product, well worth the money.",0.8775902262405638,0.0009231466428198833,0,1,1,-0.09149862946001058,-0.26994390997208145,-0.4622445516117188,-0.7043500191072208,-1.0372025050803004,-0.84961136786399,-0.7711499183184626,0.959506757693534,0.07729766976716827,1.4152752047134152,0
U0957,aeb5794ed8ec11ac9b4af87b59b77da6,Jewelizer Leather Bracelet,view,4.9,Five stars! Exceeded all my expectations.,-1.5516208984019904,-1.4188763900140635,1,1,2,-0.09149862946001058,-0.26994390997208145,-0.4622445516117188,-0.7043500191072208,-1.0372025050803004,-0.84961136786399,1.296764709747436,-1.0422021439471714,-1.001143818221125,-0.7065763582020035,2
U0519,a57dcb7e4745d9caf21e2d2944f58d7e,Candy House Solid Men's Polo Neck T-Shirt,cart,4.8,"This is a high-quality product, well worth the money.",0.8775902262405638,-1.4188763900140635,0,1,3,-0.09149862946001058,-0.26994390997208145,-0.4622445516117188,-0.7043500191072208,-1.0372025050803004,-0.84961136786399,-0.7711499183184626,0.959506757693534,-1.41592900590893,1.4152752047134152,0
U0713,2432372e72a48611990ce38f8a4100e1,Luigi Bormioli 10405/02,cart,4.3,"The material feels premium and sturdy, I’m impressed.",-1.2045907377387683,0.0009231466428198833,0,0,4,-0.09149862946001058,-0.26994390997208145,-0.4622445516117188,-0.7043500191072208,-1.0372025050803004,-0.84961136786399,1.296764709747436,0.959506757693534,-1.001143818221125,-0.7065763582020035,2
U0811,2cb52a0515ebecf0fa3b4a98a30a0e3f,"Enthopia Back Cover for iPad Air, iPad 5",cart,1.5,"Great for its price, but there are some improvements needed.",-0.8575605770755463,0.0009231466428198833,1,0,5,-0.09149862946001058,-0.26994390997208145,-0.4622445516117188,-0.7043500191072208,-1.0372025050803004,1.1770087334331487,-0.7711499183184626,-1.0422021439471714,-1.250014930833808,1.4152752047134152,1
U0417,0e4ad11848511eed86f40c6694146a22,Cotonex Blue Cotton Kitchen Linen Set,view,2.7,"Exactly as described, fast delivery, very happy.",1.571650547567008,1.4207226832997033,0,1,6,-0.09149862946001058,-0.26994390997208145,-0.4622445516117188,-0.7043500191072208,-1.0372025050803004,1.1770087334331487,-0.7711499183184626,0.959506757693534,-1.084100855758686,1.4152752047134152,0
U0702,65f186769e0fa2a60adb8db67297d8f5,Pruto Lace Up,view,1.7,"This is a high-quality product, well worth the money.",0.8775902262405638,-0.7089766216856218,1,1,7,-0.09149862946001058,-0.26994390997208145,-0.4622445516117188,-0.7043500191072208,-1.0372025050803004,1.1770087334331487,1.296764709747436,-1.0422021439471714,0.4920828574549734,1.4152752047134152,1
U0696,3608d8ee939a37fe90c7751e2ba2692f,Durian BID/32625/A/1 Leatherette 1 Seater Sofa,purchase,3.2,"The product was fine, but the packaging was poor.",-1.5516208984019904,-0.7089766216856218,0,0,8,-0.09149862946001058,-0.26994390997208145,-0.4622445516117188,-0.7043500191072208,-1.0372025050803004,1.1770087334331487,1.296764709747436,0.959506757693534,-0.4204445554581978,-0.7065763582020035,2
U0488,3e2b2a04696f7d83a7835e9894d79df7,Bela Home Cotton Cartoon Single Bedsheet,purchase,1.9,It looks great but doesn't work as expected.,-0.16350025574910226,1.4207226832997033,0,1,9,-0.09149862946001058,-0.26994390997208145,-0.4622445516117188,-0.7043500191072208,0.9641318788779631,-0.84961136786399,-0.7711499183184626,-1.0422021439471714,0.5750398949925344,-0.7065763582020035,0
U0680,04f420989d4d30df44eaad61edc7140e,Martini Party Sleeveless Solid Women's Top,view,4.9,"Super easy to use, perfect for beginners.",-0.5105304164123243,0.7108229149712616,0,1,10,-0.09149862946001058,-0.26994390997208145,-0.4622445516117188,-0.7043500191072208,0.9641318788779631,-0.84961136786399,-0.7711499183184626,0.959506757693534,0.5750398949925344,-0.7065763582020035,0
