product_name,overall_rating,review
Alisha Solid Women's Cycling Shorts,3.9,Worth the price.
Alisha Solid Women's Cycling Shorts,3.9,Satisfactory.
Alisha Solid Women's Cycling Shorts,3.9,Good product.
FabHomeDecor Fabric Double Sofa Bed,2.69,Average quality.
FabHomeDecor Fabric Double Sofa Bed,2.69,Not great.
FabHomeDecor Fabric Double Sofa Bed,2.69,Average quality.
AW Bellies,2.2,Could be better.
AW Bellies,2.2,Average quality.
AW Bellies,2.2,Could be better.
Alisha Solid Women's Cycling Shorts,2.13,Average quality.
Alisha Solid Women's Cycling Shorts,2.13,Not great.
Alisha Solid Women's Cycling Shorts,2.13,Not great.
Sicons All Purpose Arnica Dog Shampoo,2.0,Not great.
Sicons All Purpose Arnica Dog Shampoo,2.0,Could be better.
Sicons All Purpose Arnica Dog Shampoo,2.0,Could be better.
Eternal Gandhi Super Series Crystal Paper Weights  with Silver Finish,4.04,Highly recommended!
Eternal Gandhi Super Series Crystal Paper Weights  with Silver Finish,4.04,Highly recommended!
Eternal Gandhi Super Series Crystal Paper Weights  with Silver Finish,4.04,Highly recommended!
Alisha Solid Women's Cycling Shorts,2.92,Not great.
Alisha Solid Women's Cycling Shorts,2.92,Average quality.
Alisha Solid Women's Cycling Shorts,2.92,Average quality.
FabHomeDecor Fabric Double Sofa Bed,2.81,Not great.
FabHomeDecor Fabric Double Sofa Bed,2.81,Could be better.
FabHomeDecor Fabric Double Sofa Bed,2.81,Not great.
"dilli bazaaar Bellies, Corporate Casuals, Casuals",2.95,Average quality.
"dilli bazaaar Bellies, Corporate Casuals, Casuals",2.95,Average quality.
"dilli bazaaar Bellies, Corporate Casuals, Casuals",2.95,Could be better.
Alisha Solid Women's Cycling Shorts,4.51,Excellent!
Alisha Solid Women's Cycling Shorts,4.51,Excellent!
Alisha Solid Women's Cycling Shorts,4.51,Highly recommended!
Ladela Bellies,5.0,Excellent!
Ladela Bellies,5.0,Highly recommended!
Ladela Bellies,5.0,Excellent!
Carrel Printed Women's,4.17,Excellent!
Carrel Printed Women's,4.17,Loved it!
Carrel Printed Women's,4.17,Highly recommended!
Alisha Solid Women's Cycling Shorts,4.15,Loved it!
Alisha Solid Women's Cycling Shorts,4.15,Loved it!
Alisha Solid Women's Cycling Shorts,4.15,Highly recommended!
Freelance Vacuum Bottles 350 ml Bottle,4.4,Highly recommended!
Freelance Vacuum Bottles 350 ml Bottle,4.4,Highly recommended!
Freelance Vacuum Bottles 350 ml Bottle,4.4,Excellent!
Alisha Solid Women's Cycling Shorts,2.6,Average quality.
Alisha Solid Women's Cycling Shorts,2.6,Average quality.
Alisha Solid Women's Cycling Shorts,2.6,Not great.
FabHomeDecor Fabric Double Sofa Bed,2.72,Average quality.
FabHomeDecor Fabric Double Sofa Bed,2.72,Could be better.
FabHomeDecor Fabric Double Sofa Bed,2.72,Not great.
Style Foot Bellies,3.9,Worth the price.
Style Foot Bellies,3.9,Worth the price.
Style Foot Bellies,3.9,Worth the price.
Carrel Printed Women's,3.47,Good product.
Carrel Printed Women's,3.47,Good product.
Carrel Printed Women's,3.47,Good product.
FabHomeDecor Fabric Double Sofa Bed,3.91,Good product.
FabHomeDecor Fabric Double Sofa Bed,3.91,Good product.
FabHomeDecor Fabric Double Sofa Bed,3.91,Good product.
Sicons Conditioning Conditoner Dog Shampoo,3.76,Good product.
Sicons Conditioning Conditoner Dog Shampoo,3.76,Good product.
Sicons Conditioning Conditoner Dog Shampoo,3.76,Worth the price.
dongli Printed Boy's Round Neck T-Shirt,4.51,Highly recommended!
dongli Printed Boy's Round Neck T-Shirt,4.51,Loved it!
dongli Printed Boy's Round Neck T-Shirt,4.51,Excellent!
SWAGGA Women Clogs,2.36,Not great.
SWAGGA Women Clogs,2.36,Not great.
SWAGGA Women Clogs,2.36,Not great.
Kennel Rubber Dumbell With Bell - Small Rubber Rubber Toy For Dog,2.42,Not great.
Kennel Rubber Dumbell With Bell - Small Rubber Rubber Toy For Dog,2.42,Not great.
Kennel Rubber Dumbell With Bell - Small Rubber Rubber Toy For Dog,2.42,Could be better.
Glus Wedding Lingerie Set,3.14,Satisfactory.
Glus Wedding Lingerie Set,3.14,Good product.
Glus Wedding Lingerie Set,3.14,Good product.
Veelys Shiny White Quad Roller Skates - Size 4.5 UK,3.15,Good product.
Veelys Shiny White Quad Roller Skates - Size 4.5 UK,3.15,Worth the price.
Veelys Shiny White Quad Roller Skates - Size 4.5 UK,3.15,Good product.
Bulaky vanity case Jewellery Vanity Case,3.0,Good product.
Bulaky vanity case Jewellery Vanity Case,3.0,Satisfactory.
Bulaky vanity case Jewellery Vanity Case,3.0,Satisfactory.
FDT Women's Leggings,3.47,Worth the price.
FDT Women's Leggings,3.47,Good product.
FDT Women's Leggings,3.47,Satisfactory.
Madcaps C38GR30 Men's Cargos,3.16,Good product.
Madcaps C38GR30 Men's Cargos,3.16,Worth the price.
Madcaps C38GR30 Men's Cargos,3.16,Satisfactory.
Bengal Blooms Rose Artificial Plant  with Pot,3.13,Satisfactory.
