product_name,overall_rating,review
Alisha Solid Women's Cycling Shorts,3.9,"Decent quality, satisfied with the purchase."
FabHomeDecor Fabric Double Sofa Bed,2.69,Has some flaws but works okay.
AW Bellies,2.2,Not up to the mark. Expected better.
Alisha Solid Women's Cycling Shorts,2.13,Has some flaws but works okay.
Sicons All Purpose Arnica Dog Shampoo,2.0,"Average product, not worth the price."
Eternal Gandhi Super Series Crystal Paper Weights  with Silver Finish,4.04,Amazing experience using this. Will buy again!
Alisha Solid Women's Cycling Shorts,2.92,Not up to the mark. Expected better.
FabHomeDecor Fabric Double Sofa Bed,2.81,Not up to the mark. Expected better.
"dilli bazaaar Bellies, Corporate Casuals, Casuals",2.95,Not up to the mark. Expected better.
Alisha Solid Women's Cycling Shorts,4.51,Amazing experience using this. Will buy again!
Ladela Bellies,5.0,Excellent product! Highly recommended.
Carrel Printed Women's,4.17,Loved it! Great quality and value for money.
Alisha Solid Women's Cycling Shorts,4.15,Excellent product! Highly recommended.
Freelance Vacuum Bottles 350 ml Bottle,4.4,Amazing experience using this. Will buy again!
Alisha Solid Women's Cycling Shorts,2.6,Not up to the mark. Expected better.
FabHomeDecor Fabric Double Sofa Bed,2.72,"Average product, not worth the price."
Style Foot Bellies,3.9,"Good product, but could be better."
Carrel Printed Women's,3.47,"Decent quality, satisfied with the purchase."
FabHomeDecor Fabric Double Sofa Bed,3.91,"Good product, but could be better."
Sicons Conditioning Conditoner Dog Shampoo,3.76,"Good product, but could be better."
dongli Printed Boy's Round Neck T-Shirt,4.51,Loved it! Great quality and value for money.
SWAGGA Women Clogs,2.36,Not up to the mark. Expected better.
Kennel Rubber Dumbell With Bell - Small Rubber Rubber Toy For Dog,2.42,Has some flaws but works okay.
Glus Wedding Lingerie Set,3.14,Value for money but has some minor issues.
Veelys Shiny White Quad Roller Skates - Size 4.5 UK,3.15,"Good product, but could be better."
Bulaky vanity case Jewellery Vanity Case,3.0,"Good product, but could be better."
FDT Women's Leggings,3.47,"Good product, but could be better."
Madcaps C38GR30 Men's Cargos,3.16,Value for money but has some minor issues.
Bengal Blooms Rose Artificial Plant  with Pot,3.13,"Decent quality, satisfied with the purchase."
Indcrown Net Embroidered Semi-stitched Lehenga Choli Material,4.36,Loved it! Great quality and value for money.
Shopmania Music Band A5 Notebook Spiral Bound,2.36,"Average product, not worth the price."
Shopmania Music Band A5 Notebook Spiral Bound,3.39,"Decent quality, satisfied with the purchase."
"Tiara Diaries 2016-2017 Designer LA Kaarta ""TAKING ACTION GETTING RESULT"" (Set of 3) B5 Notebook Hard Bound",3.48,"Decent quality, satisfied with the purchase."
KAJCI Embroidered Women's Waistcoat,2.68,Has some flaws but works okay.
Packman 8 x 10 inches Security Bags Without POD Jacket Courier Bag Security Bag,4.29,Loved it! Great quality and value for money.
Pick Pocket Embroidered Women's Waistcoat,4.87,Excellent product! Highly recommended.
Angelfish Silk Potali Potli,3.28,Value for money but has some minor issues.
Oye Boy's Dungaree,4.79,Excellent product! Highly recommended.
Nuride Canvas Shoes,3.56,Value for money but has some minor issues.
OM SHIVAKRITI Square wall Clock Showpiece  -  38.1 cm,3.5,Value for money but has some minor issues.
Himmlisch ST381 Magnetic Sun Shade For Maruti Alto,2.83,Not up to the mark. Expected better.
Rapter BNC-179 BNC Wire Connector,4.05,Loved it! Great quality and value for money.
Vishudh Printed Women's Straight Kurta,2.12,Has some flaws but works okay.
Vishudh Printed Women's Straight Kurta,4.44,Excellent product! Highly recommended.
Vishudh Printed Women's Anarkali Kurta,4.82,Excellent product! Highly recommended.
BuildTrack PIR Wireless Motion Sensor - One Switch Control Wireless Sensor Security System,4.33,Loved it! Great quality and value for money.
Skayvon SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER Wired Sensor Security System,3.6,"Good product, but could be better."
MASARA Solid Women's Straight Kurta,4.72,Excellent product! Highly recommended.
Vishudh Printed Women's Straight Kurta,4.94,Loved it! Great quality and value for money.
Rapter BNC-047 BNC Wire Connector,3.79,Value for money but has some minor issues.
Skayvon SUBMERSIBBLE THREE PHASE PUMP CONTROLLER Wired Sensor Security System,2.29,"Average product, not worth the price."
Vishudh Printed Women's Straight Kurta,4.95,Loved it! Great quality and value for money.
Behringer Xenyx 502 Analog Sound Mixer,2.67,Has some flaws but works okay.
Vishudh Printed Women's Straight Kurta,2.46,Has some flaws but works okay.
Vishudh Printed Women's Straight Kurta,2.22,Not up to the mark. Expected better.
MASARA Solid Women's Straight Kurta,2.03,Not up to the mark. Expected better.
MASARA Solid Women's Straight Kurta,2.69,Not up to the mark. Expected better.
Roadster Men's Zipper Solid Cardigan,3.6,"Decent quality, satisfied with the purchase."
Vishudh Printed Women's Straight Kurta,3.04,"Decent quality, satisfied with the purchase."
Noor Embroidered Women's Straight Kurta,2.51,Not up to the mark. Expected better.
MASARA Solid Women's Straight Kurta,4.91,Amazing experience using this. Will buy again!
Vishudh Printed Women's Straight Kurta,3.44,"Good product, but could be better."
Libas Printed Women's A-line Kurta,4.14,Loved it! Great quality and value for money.
Libas Printed Women's Anarkali Kurta,4.74,Amazing experience using this. Will buy again!
MASARA Solid Women's Straight Kurta,3.46,"Decent quality, satisfied with the purchase."
HRS ULTIMATE BOY Chest Pads,3.76,"Good product, but could be better."
Vermello Men Casual Brown Genuine Leather Belt,4.54,Excellent product! Highly recommended.
HRS CLUB BOY Thigh Pads,3.55,"Decent quality, satisfied with the purchase."
Ligans NY Men Formal Black Genuine Leather Belt,4.49,Excellent product! Highly recommended.
Elegance Polyester Multicolor Abstract Eyelet Door Curtain,4.92,Excellent product! Highly recommended.
Liza Women Wedges,4.16,Amazing experience using this. Will buy again!
HRS ULTIMATE BOY Elbow Pads,4.68,Loved it! Great quality and value for money.
Sathiyas Cotton Bath Towel,2.44,Not up to the mark. Expected better.
HRS ULTIMATE MEN Chest Pads,4.33,Excellent product! Highly recommended.
SANTOSH ROYAL FASHION Cotton Printed King sized Double Bedsheet,4.44,Amazing experience using this. Will buy again!
CASEDEAL Microsoft Nokia lumia x2 Back Panel,4.0,Loved it! Great quality and value for money.
Mario Gotze Women's Printed Casual Orange Shirt,4.54,Excellent product! Highly recommended.
Jaipur Print Cotton Floral King sized Double Bedsheet,3.1,Value for money but has some minor issues.
Shilpi NHSCN003 Coin Bank,3.97,"Decent quality, satisfied with the purchase."
Jaipur Print Cotton Floral King sized Double Bedsheet,2.04,"Average product, not worth the price."
Babeezworld Dungaree Baby Boy's  Combo,4.08,Loved it! Great quality and value for money.
